title,uni,deadline
"EASTBIO: Decoding hormonal regulation of organ development and death using Drosophila","University of Edinburgh","15 December 2025"
"EASTBIO: Dissecting the molecular mechanism of chromosome segregation in the marine plankton Paradiplonema papillatum","University of Edinburgh","15 December 2025"
"EASTBIO: How do eukaryotic cells sense different types of stress?","University of Edinburgh","15 December 2025"
"EASTBIO: How RNA-binding proteins control fungal growth: an interdisciplinary data-rich approach","University of Edinburgh","15 December 2025"
"EASTBIO: Spatial Genome Organisation Fine-Tuning of Metabolic Control in Muscle Function in Exercise and Health","University of Edinburgh","15 December 2025"
"EASTBIO: Structural mechanisms of genome organisation and inheritance","University of Edinburgh","15 December 2025"
"EASTBIO: The role of RNAi in fungal adaptation","University of Edinburgh","15 December 2025"
"EASTBIO: Resilient crops for a sustainable future: Unravelling the interaction between fungal pathogens and mycorrhizal symbionts in barley","University of Edinburgh","15 December 2025"
"EASTBIO: Why are there unusual genetic regions of high-diversity in self–fertilising species?","University of Edinburgh","15 December 2025"
"EASTBIO: Characterisation of inter-species RNA-RNA interactions in parasitic nematode infections","University of Edinburgh","15 December 2025"
"EASTBIO: Mechanisms of tsetse transmissibility by African trypanosomes","University of Edinburgh","15 December 2025"
"EASTBIO: Engineering the T-cell repertoire using thymic organoid models","University of Edinburgh","15 December 2025"
"EASTBIO: Integrative structural approaches to understand how structured RNA elements regulate alternative splicing in humans","University of Edinburgh","15 December 2025"
"EASTBIO: Keeping dosage in check: how aneuploid cells keep their proteome in balance","University of Edinburgh","15 December 2025"
"EASTBIO: New Machine-Learning approaches for modelling dynamic protein-RNA interactions in bacteria","University of Edinburgh","15 December 2025"
"EASTBIO: The role of MRSA RNase R in regulating survival in the host","University of Edinburgh","15 December 2025"
"EASTBIO: Uncovering How Cell Size Shapes Gene Expression Using Theory, Data analysis, and Machine Learning","University of Edinburgh","15 December 2025"
"EASTBIO: Identification of novel mtDNA maintenance factors in trypanosome parasites with a whole-genome RNA interference screen","University of Edinburgh","15 December 2025"
"EASTBIO - Role of biomechanical forces in the embryonic development of haematopoietic stem cells","University of Edinburgh","15 December 2025"
"EASTBIO - Functional Genomics of Host Determinants in Viral Entry and Transmission","University of Edinburgh","15 December 2025"
"EASTBIO - The impact of diet-microbiome-immune interactions on intestinal function","University of Edinburgh","15 December 2025"
"EASTBIO - Using proteomics and informatics approaches to uncover novel host antimicrobial responses in macrophages","University of Edinburgh","15 December 2025"
"EASTBIO: Genomic divergence and speciation in Mexican fish","University of St Andrews","15 December 2025"
"EASTBIO: It’s getting hot in here: uncovering the molecular mechanisms underlying changes in social behaviour at increased temperatures","University of St Andrews","15 December 2025"
"EASTBIO: Machine Learning methods for detecting selection and understanding speciation","University of St Andrews","15 December 2025"
"EASTBIO: Novel Mechanisms of Viral Episome Tethering to Host Cell Chromatin","University of St Andrews","15 December 2025"
"EASTBIO: Studying the function of Neurochondrin in the nervous system and beyond using cell culture models and Drosophila morphogenesis","University of St Andrews","15 December 2025"
"EASTBIO Understanding mobile genetic elements in microbial ecosystem stability","University of St Andrews","15 December 2025"
"EASTBIO: Combining Omics Data and AI Approaches to Dissect the Role of Genetic Factors in Brain Health and Healthy Aging","University of St Andrews","15 December 2025"
"EASTBIO: Interferon Epsilon in Gut Barrier Immunity: Dissecting Epithelial-Immune‐Pathogen Interactions and Therapeutic Potential","University of St Andrews","15 December 2025"
"EASTBIO: When Phages Collide: Understanding How Multiple Prophages Shape Bacterial Behaviour","University of St Andrews","15 December 2025"
"EASTBIO Unravelling the role of neuromodulation in locomotion using computational analysis","University of St Andrews","15 December 2025"
"E5 DLA: Explaining unexpected polymorphism in a range-expanding butterfly: Ecology, machine learning and genomics","University of Edinburgh","14 December 2025"
"Why are there unusual genetic regions of high-diversity self–fertilising species?","University of Edinburgh","14 December 2025"
"Dynamic regulation of activity-regulated genes in the Drosophila mushroom body","Durham University","12 December 2025"
"Diet–microbiome linkages and the ecology of nutrition in wild herbivores","University of Bath","8 December 2025"
"(BBSRC NWD CASE) Probing the role of non-canonical NRF2-Retinoic acid signalling cross-talk in neuromuscular ageing using novel synthetic retinoids and chronobiology approaches","University of Liverpool","7 December 2025"
"(BBSRC NWD CASE) Unravelling the origins, mechanisms and implications of species differences in cellular stress response pathway capacities","University of Liverpool","7 December 2025"
"(BBSRC NWD) AI-driven interpretation of protein variants to drive crop improvement","University of Liverpool","7 December 2025"
"(BBSRC NWD) Deciphering the role of adaptor protein complexes in mast cell activation","University of Liverpool","7 December 2025"
"(BBSRC NWD) Decoding the Ageing Liver: Molecular Insights into Metabolism and Healthspan","University of Liverpool","7 December 2025"
"(BBSRC NWD) Exploring diagnostic signatures for Fasciola spp. liver fluke parasites: comparative insights and marker discovery","University of Liverpool","7 December 2025"
"(BBSRC NWD) How Do Bacteria Defend Themselves? Exploring the Environmental Control of Anti-Phage Defence Systems in Pseudomonas aeruginosa Defense Dynamics and Phage Susceptibility","University of Liverpool","7 December 2025"
"(BBSRC NWD) Leveraging and developing Deep Learning-based methods for experimental structural biology","University of Liverpool","7 December 2025"
"(BBSRC NWD) Molecular Constraints and Predictability in the Convergent Evolution of Na, K-ATPases","University of Liverpool","7 December 2025"
"(BBSRC NWD) Structure and Function of Acinetobacter baumannii C-terminal Processing Proteases","University of Liverpool","7 December 2025"
"Systems pathology of the breast tumour microenvironment in obesity","University of Cambridge","5 December 2025"
"CASE: Engineering prophages to kill Burkholderia bacteria for phage therapy and biotechnology","Cardiff University","3 December 2025"
"Deciphering the Role of TET Enzymes in regulating stem cell potency and fate commitment","Cardiff University","3 December 2025"
"Decoding DNA Repair: Molecular Insights into Sequence-Specific Recognition","Cardiff University","3 December 2025"
"The 5’UTR and mRNA translational repression","Cardiff University","3 December 2025"
"SWBio DTP PhD Project: Dissecting the Link Between Lipid Peroxidation and Platelet Receptors in Thrombosis","University of Bath","3 December 2025"
"Identifying signatures of host specificity in protist parasite genomes","University of Bath","3 December 2025"
"SWBio DTP PhD Project: Decoding Protist Parasites in Aquaculture with Single-Cell Sequencing","University of Bath","3 December 2025"
"SWBio DTP PhD Project: Duplication, Diploidisation and the Rise of Grasses","University of Bath","3 December 2025"
"SWBio DTP PhD Project: Rational Design of Novel Degraders for Targeted Protein Degradation","University of Bath","3 December 2025"
"SWBio DTP PhD Project: The fitness effects of loss-of-function mutations inbacterial populations","University of Bath","3 December 2025"
"SWBio DTP PhD Project: The role of reductive evolution in the origin of eukaryotic cells","University of Bath","3 December 2025"
"The genomic basis of symbiotic integration","University of Bath","3 December 2025"
"Investigating the Role of Early-Life Microbiome Variation in Shaping Immune Development and Vaccine Responsiveness in Livestock","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP- (CASE) Drugging a Hunger Receptor: Structure and Mechanism of Agonist  Binding to Novel Vestibular Site in FFAR1","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP- (STANDARD) Elucidating snake venom metalloproteinase mechanisms for new snakebite treatments","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP - (STANDARD) Defending the Breach: How do Plants Block Pathogen Entry at Wounds?","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP (CASE) - How do bacterial pathogens enter and colonise plant vasculature?","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP- (STANDARD) Investigating the Effects of Diabetes and Obesity Medications on the Brain-Kidney Axis","University of Bristol","3 December 2025"
"Funded PhD SWBio DTP- (STANDARD) Run, sleep, repeat: Regular exercise for good health and longevity","University of Bristol","3 December 2025"
"Antimicrobial Resistance (AMR) in Gamebirds: A One Health Approach  to Understanding and Mitigating the Risk of AMR Evolution and Spread  through Ecosystems","University of Exeter","3 December 2025"
"Chromatin-mediated control of morphogenesis and virulence in  Aspergillus fumigatus","University of Exeter","3 December 2025"
"Imaging the birth and life of gene transcripts in vivo","University of Exeter","3 December 2025"
"Modelling the Emergence and Maturation of Primitive Blood Lineages  ex vivo Using Primate Stem Cell-Based Models","University of Exeter","3 December 2025"
"Fully funded PhD studentship in synthetic biology and gene editing (University of Cambridge)","University of Cambridge","2 December 2025"
"The molecular nature of mitochondrial proton leak (CRICHTON_U26DTP)","University of East Anglia","2 December 2025"
"AI-Driven Digital Twins for Precision Oncology","King’s College London","Year round applications"
"Molecular mechanisms and physiological roles of animal cell size regulation in development, cancer and ageing","University of Cambridge","Year round applications"
